pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
FF,9/20/2022,99.3,-1.66,"Acuña Jr., Ronald",ground_ball,2,88,-30,99.4,2122,0.057,0.051,2
FF,9/20/2022,98.5,-1.84,"Grissom, Vaughn",ground_ball,57,78.7,2,98.8,2136,0.189,0.17,2
FF,9/20/2022,98.7,-1.7,"Grossman, Robbie",fly_ball,270,80.7,39,98.5,1976,0.02,0.018,3
SI,9/20/2022,99,-1.46,"Swanson, Dansby",fly_ball,379,102.1,27,99.7,2079,0.7,1.3,6
SL,9/19/2022,75.9,-3.46,"Riley, Austin",fly_ball,330,99.4,43,77.3,2278,0.043,0.069,3
SI,9/19/2022,89.9,-3.57,"Acuña Jr., Ronald",ground_ball,6,80.1,-21,92.5,2331,0.04,0.038,2
SI,9/19/2022,97,-2.53,"Harris II, Michael",fly_ball,235,90.1,55,97.5,2305,0.009,0.008,3
SI,9/19/2022,89.9,-3.46,"Rosario, Eddie",fly_ball,392,105,24,92.4,2300,0.869,1.63,6
SI,9/19/2022,96.1,-2.35,"d'Arnaud, Travis",ground_ball,26,77.2,-2,96.5,2320,0.123,0.115,2
SI,9/19/2022,96.5,-2.56,"Olson, Matt",line_drive,202,101.4,9,96.7,2275,0.726,0.678,4
SI,9/18/2022,96.7,-1.89,"Riley, Austin",line_drive,163,92.5,9,97.4,1960,0.617,0.572,4
FC,9/18/2022,92.1,-2.55,"Grossman, Robbie",popup,146,64.3,61,92.9,2667,0.006,0.005,3
KC,9/18/2022,83.8,-2.36,"Ozuna, Marcell",line_drive,264,102.4,16,83.8,2531,0.529,0.566,4
CH,9/18/2022,89.8,-1.87,"Acuña Jr., Ronald",line_drive,208,106.3,13,89.9,1455,0.791,0.807,5
CU,9/18/2022,85.1,-1.96,"Grossman, Robbie",fly_ball,358,95.3,37,84.8,2719,0.123,0.238,3
FC,9/18/2022,93.1,-2.49,"Harris II, Michael",ground_ball,55,95.4,1,93.4,2652,0.414,0.397,2
FC,9/18/2022,92,-2.4,"Grissom, Vaughn",line_drive,239,100.6,13,93,2563,0.897,0.901,4
CU,9/18/2022,85.2,-1.93,"Ozuna, Marcell",popup,201,81.3,56,85.3,2701,0.046,0.051,3
